Число узлов n = 10001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
| 0.01790 |      3.919765e-07      |      2.089891e+02      |
| 0.01800 |      3.919758e-07      |      2.101567e+02      |
| 0.01810 |      3.919750e-07      |      2.113242e+02      |
| 0.01820 |      3.919743e-07      |      2.124918e+02      |
| 0.01830 |      3.919735e-07      |      2.136594e+02      |
| 0.01840 |      3.919727e-07      |      2.148270e+02      |
| 0.01850 |      3.919719e-07      |      2.159945e+02      |
| 0.01860 |      3.919712e-07      |      2.171621e+02      |
| 0.01870 |      3.919704e-07      |      2.183297e+02      |
| 0.01880 |      3.919696e-07      |      2.194973e+02      |
| 0.01890 |      3.919688e-07      |      2.206648e+02      |
| 0.01900 |      3.919680e-07      |      2.218324e+02      |
| 0.01910 |      3.919672e-07      |      2.230000e+02      |
| 0.01920 |      3.919664e-07      |      2.241676e+02      |
| 0.01930 |      3.919656e-07      |      2.253352e+02      |
| 0.01940 |      3.919648e-07      |      2.265027e+02      |
| 0.01950 |      3.919640e-07      |      2.276703e+02      |
| 0.01960 |      3.919632e-07      |      2.288379e+02      |
| 0.01970 |      3.919623e-07      |      2.300055e+02      |
| 0.01980 |      3.919615e-07      |      2.311731e+02      |
| 0.01990 |      3.919607e-07      |      2.323407e+02      |
| 0.02000 |      3.919599e-07      |      2.335082e+02      |
| 0.02010 |      3.919590e-07      |      2.346758e+02      |
| 0.02020 |      3.919582e-07      |      2.358434e+02      |
| 0.02030 |      3.919573e-07      |      2.370110e+02      |
| 0.02040 |      3.919565e-07      |      2.381786e+02      |
| 0.02050 |      3.919556e-07      |      2.393462e+02      |
| 0.02060 |      3.919548e-07      |      2.405138e+02      |
| 0.02070 |      3.919539e-07      |      2.416813e+02      |
| 0.02080 |      3.919530e-07      |      2.428489e+02      |
| 0.02090 |      3.919521e-07      |      2.440165e+02      |
| 0.02100 |      3.919513e-07      |      2.451841e+02      |
| 0.02110 |      3.919504e-07      |      2.463517e+02      |
| 0.02120 |      3.919495e-07      |      2.475193e+02      |
| 0.02130 |      3.919486e-07      |      2.486869e+02      |
| 0.02140 |      3.919477e-07      |      2.498545e+02      |
| 0.02150 |      3.919468e-07      |      2.510221e+02      |
| 0.02160 |      3.919459e-07      |      2.521897e+02      |
| 0.02170 |      3.919450e-07      |      2.533573e+02      |
| 0.02180 |      3.919441e-07      |      2.545249e+02      |
| 0.02190 |      3.919432e-07      |      2.556925e+02      |
| 0.02200 |      3.919423e-07      |      2.568601e+02      |
| 0.02210 |      3.919413e-07      |      2.580277e+02      |
| 0.02220 |      3.919404e-07      |      2.591953e+02      |
| 0.02230 |      3.919395e-07      |      2.603629e+02      |
| 0.02240 |      3.919385e-07      |      2.615305e+02      |
| 0.02250 |      3.919376e-07      |      2.626981e+02      |
| 0.02260 |      3.919367e-07      |      2.638657e+02      |
| 0.02270 |      3.919357e-07      |      2.650333e+02      |
| 0.02280 |      3.919348e-07      |      2.662009e+02      |
| 0.02290 |      3.919338e-07      |      2.673685e+02      |
| 0.02300 |      3.919328e-07      |      2.685361e+02      |
| 0.02310 |      3.919319e-07      |      2.697037e+02      |
| 0.02320 |      3.919309e-07      |      2.708713e+02      |
| 0.02330 |      3.919299e-07      |      2.720389e+02      |
| 0.02340 |      3.919289e-07      |      2.732065e+02      |
| 0.02350 |      3.919280e-07      |      2.743741e+02      |
| 0.02360 |      3.919270e-07      |      2.755417e+02      |
| 0.02370 |      3.919260e-07      |      2.767093e+02      |
| 0.02380 |      3.919250e-07      |      2.778769e+02      |
| 0.02390 |      3.919240e-07      |      2.790445e+02      |
| 0.02400 |      3.919230e-07      |      2.802122e+02      |
| 0.02410 |      3.919220e-07      |      2.813798e+02      |
| 0.02420 |      3.919210e-07      |      2.825474e+02      |
| 0.02430 |      3.919200e-07      |      2.837150e+02      |
| 0.02440 |      3.919189e-07      |      2.848826e+02      |
| 0.02450 |      3.919179e-07      |      2.860502e+02      |
| 0.02460 |      3.919169e-07      |      2.872178e+02      |
| 0.02470 |      3.919159e-07      |      2.883855e+02      |
| 0.02480 |      3.919148e-07      |      2.895531e+02      |
| 0.02490 |      3.919138e-07      |      2.907207e+02      |
| 0.02500 |      3.919127e-07      |      2.918883e+02      |
| 0.02510 |      3.919117e-07      |      2.930559e+02      |
| 0.02520 |      3.919106e-07      |      2.942236e+02      |
| 0.02530 |      3.919096e-07      |      2.953912e+02      |
| 0.02540 |      3.919085e-07      |      2.965588e+02      |
| 0.02550 |      3.919074e-07      |      2.977264e+02      |
| 0.02560 |      3.919064e-07      |      2.988940e+02      |
| 0.02570 |      3.919053e-07      |      3.000617e+02      |
| 0.02580 |      3.919042e-07      |      3.012293e+02      |
| 0.02590 |      3.919031e-07      |      3.023969e+02      |
| 0.02600 |      3.919021e-07      |      3.035645e+02      |
| 0.02610 |      3.919010e-07      |      3.047322e+02      |
| 0.02620 |      3.918999e-07      |      3.058998e+02      |
| 0.02630 |      3.918988e-07      |      3.070674e+02      |
| 0.02640 |      3.918977e-07      |      3.082351e+02      |
| 0.02650 |      3.918966e-07      |      3.094027e+02      |
| 0.02660 |      3.918954e-07      |      3.105703e+02      |
| 0.02670 |      3.918943e-07      |      3.117380e+02      |
| 0.02680 |      3.918932e-07      |      3.129056e+02      |
| 0.02690 |      3.918921e-07      |      3.140732e+02      |
| 0.02700 |      3.918910e-07      |      3.152409e+02      |
| 0.02710 |      3.918898e-07      |      3.164085e+02      |
| 0.02720 |      3.918887e-07      |      3.175761e+02      |
| 0.02730 |      3.918875e-07      |      3.187438e+02      |
| 0.02740 |      3.918864e-07      |      3.199114e+02      |
| 0.02750 |      3.918852e-07      |      3.210790e+02      |
| 0.02760 |      3.918841e-07      |      3.222467e+02      |
| 0.02770 |      3.918829e-07      |      3.234143e+02      |
| 0.02780 |      3.918818e-07      |      3.245820e+02      |
| 0.02790 |      3.918806e-07      |      3.257496e+02      |
| 0.02800 |      3.918794e-07      |      3.269172e+02      |
| 0.02810 |      3.918783e-07      |      3.280849e+02      |
| 0.02820 |      3.918771e-07      |      3.292525e+02      |
| 0.02830 |      3.918759e-07      |      3.304202e+02      |
| 0.02840 |      3.918747e-07      |      3.315878e+02      |
| 0.02850 |      3.918735e-07      |      3.327555e+02      |
| 0.02860 |      3.918723e-07      |      3.339231e+02      |
| 0.02870 |      3.918711e-07      |      3.350908e+02      |
| 0.02880 |      3.918699e-07      |      3.362584e+02      |
| 0.02890 |      3.918687e-07      |      3.374261e+02      |
| 0.02900 |      3.918675e-07      |      3.385937e+02      |
| 0.02910 |      3.918663e-07      |      3.397614e+02      |
| 0.02920 |      3.918651e-07      |      3.409290e+02      |
| 0.02930 |      3.918638e-07      |      3.420967e+02      |
| 0.02940 |      3.918626e-07      |      3.432643e+02      |
| 0.02950 |      3.918614e-07      |      3.444320e+02      |
| 0.02960 |      3.918601e-07      |      3.455996e+02      |
| 0.02970 |      3.918589e-07      |      3.467673e+02      |
| 0.02980 |      3.918576e-07      |      3.479350e+02      |
| 0.02990 |      3.918564e-07      |      3.491026e+02      |
| 0.03000 |      3.918551e-07      |      3.502703e+02      |
| 0.03010 |      3.918539e-07      |      3.514379e+02      |
| 0.03020 |      3.918526e-07      |      3.526056e+02      |
| 0.03030 |      3.918514e-07      |      3.537733e+02      |
| 0.03040 |      3.918501e-07      |      3.549409e+02      |
| 0.03050 |      3.918488e-07      |      3.561086e+02      |
| 0.03060 |      3.918475e-07      |      3.572763e+02      |
| 0.03070 |      3.918462e-07      |      3.584439e+02      |
| 0.03080 |      3.918450e-07      |      3.596116e+02      |
| 0.03090 |      3.918437e-07      |      3.607793e+02      |
| 0.03100 |      3.918424e-07      |      3.619469e+02      |
| 0.03110 |      3.918411e-07      |      3.631146e+02      |
| 0.03120 |      3.918398e-07      |      3.642823e+02      |
| 0.03130 |      3.918385e-07      |      3.654499e+02      |
| 0.03140 |      3.918371e-07      |      3.666176e+02      |
| 0.03150 |      3.918358e-07      |      3.677853e+02      |
| 0.03160 |      3.918345e-07      |      3.689530e+02      |
| 0.03170 |      3.918332e-07      |      3.701206e+02      |
| 0.03180 |      3.918318e-07      |      3.712883e+02      |
| 0.03190 |      3.918305e-07      |      3.724560e+02      |
| 0.03200 |      3.918292e-07      |      3.736237e+02      |
| 0.03210 |      3.918278e-07      |      3.747913e+02      |
| 0.03220 |      3.918265e-07      |      3.759590e+02      |
| 0.03230 |      3.918251e-07      |      3.771267e+02      |
| 0.03240 |      3.918238e-07      |      3.782944e+02      |
| 0.03250 |      3.918224e-07      |      3.794621e+02      |
| 0.03260 |      3.918211e-07      |      3.806297e+02      |
| 0.03270 |      3.918197e-07      |      3.817974e+02      |
| 0.03280 |      3.918183e-07      |      3.829651e+02      |
| 0.03290 |      3.918169e-07      |      3.841328e+02      |
| 0.03300 |      3.918156e-07      |      3.853005e+02      |
| 0.03310 |      3.918142e-07      |      3.864682e+02      |
| 0.03320 |      3.918128e-07      |      3.876359e+02      |
| 0.03330 |      3.918114e-07      |      3.888036e+02      |
| 0.03340 |      3.918100e-07      |      3.899712e+02      |
| 0.03350 |      3.918086e-07      |      3.911389e+02      |
| 0.03360 |      3.918072e-07      |      3.923066e+02      |
| 0.03370 |      3.918058e-07      |      3.934743e+02      |
| 0.03380 |      3.918044e-07      |      3.946420e+02      |
| 0.03390 |      3.918029e-07      |      3.958097e+02      |
| 0.03400 |      3.918015e-07      |      3.969774e+02      |
| 0.03410 |      3.918001e-07      |      3.981451e+02      |
| 0.03420 |      3.917987e-07      |      3.993128e+02      |
| 0.03430 |      3.917972e-07      |      4.004805e+02      |
| 0.03440 |      3.917958e-07      |      4.016482e+02      |
| 0.03450 |      3.917944e-07      |      4.028159e+02      |
| 0.03460 |      3.917929e-07      |      4.039836e+02      |
| 0.03470 |      3.917915e-07      |      4.051513e+02      |
| 0.03480 |      3.917900e-07      |      4.063190e+02      |
| 0.03490 |      3.917885e-07      |      4.074867e+02      |
| 0.03500 |      3.917871e-07      |      4.086544e+02      |
| 0.03510 |      3.917856e-07      |      4.098221e+02      |
| 0.03520 |      3.917841e-07      |      4.109898e+02      |
| 0.03530 |      3.917827e-07      |      4.121575e+02      |
| 0.03540 |      3.917812e-07      |      4.133252e+02      |
| 0.03550 |      3.917797e-07      |      4.144930e+02      |
| 0.03560 |      3.917782e-07      |      4.156607e+02      |
| 0.03570 |      3.917767e-07      |      4.168284e+02      |
| 0.03580 |      3.917752e-07      |      4.179961e+02      |
| 0.03590 |      3.917737e-07      |      4.191638e+02      |
| 0.03600 |      3.917722e-07      |      4.203315e+02      |
| 0.03610 |      3.917707e-07      |      4.214992e+02      |
| 0.03620 |      3.917692e-07      |      4.226670e+02      |
| 0.03630 |      3.917677e-07      |      4.238347e+02      |
| 0.03640 |      3.917661e-07      |      4.250024e+02      |
| 0.03650 |      3.917646e-07      |      4.261701e+02      |
| 0.03660 |      3.917631e-07      |      4.273378e+02      |
| 0.03670 |      3.917615e-07      |      4.285055e+02      |
| 0.03680 |      3.917600e-07      |      4.296733e+02      |
| 0.03690 |      3.917585e-07      |      4.308410e+02      |
| 0.03700 |      3.917569e-07      |      4.320087e+02      |
| 0.03710 |      3.917554e-07      |      4.331764e+02      |
| 0.03720 |      3.917538e-07      |      4.343442e+02      |
| 0.03730 |      3.917522e-07      |      4.355119e+02      |
| 0.03740 |      3.917507e-07      |      4.366796e+02      |
| 0.03750 |      3.917491e-07      |      4.378474e+02      |
| 0.03760 |      3.917475e-07      |      4.390151e+02      |
| 0.03770 |      3.917460e-07      |      4.401828e+02      |
| 0.03780 |      3.917444e-07      |      4.413506e+02      |
| 0.03790 |      3.917428e-07      |      4.425183e+02      |
| 0.03800 |      3.917412e-07      |      4.436860e+02      |
| 0.03810 |      3.917396e-07      |      4.448538e+02      |
| 0.03820 |      3.917380e-07      |      4.460215e+02      |
| 0.03830 |      3.917364e-07      |      4.471892e+02      |
| 0.03840 |      3.917348e-07      |      4.483570e+02      |
| 0.03850 |      3.917332e-07      |      4.495247e+02      |
| 0.03860 |      3.917316e-07      |      4.506924e+02      |
| 0.03870 |      3.917300e-07      |      4.518602e+02      |
| 0.03880 |      3.917283e-07      |      4.530279e+02      |
| 0.03890 |      3.917267e-07      |      4.541957e+02      |
| 0.03900 |      3.917251e-07      |      4.553634e+02      |
| 0.03910 |      3.917234e-07      |      4.565312e+02      |
| 0.03920 |      3.917218e-07      |      4.576989e+02      |
| 0.03930 |      3.917202e-07      |      4.588667e+02      |
| 0.03940 |      3.917185e-07      |      4.600344e+02      |
| 0.03950 |      3.917169e-07      |      4.612022e+02      |
| 0.03960 |      3.917152e-07      |      4.623699e+02      |
| 0.03970 |      3.917135e-07      |      4.635377e+02      |
| 0.03980 |      3.917119e-07      |      4.647054e+02      |
| 0.03990 |      3.917102e-07      |      4.658732e+02      |
| 0.04000 |      3.917085e-07      |      4.670409e+02      |
| 0.04010 |      3.917069e-07      |      4.682087e+02      |
| 0.04020 |      3.917052e-07      |      4.693764e+02      |
| 0.04030 |      3.917035e-07      |      4.705442e+02      |
| 0.04040 |      3.917018e-07      |      4.717119e+02      |
| 0.04050 |      3.917001e-07      |      4.728797e+02      |
| 0.04060 |      3.916984e-07      |      4.740475e+02      |
| 0.04070 |      3.916967e-07      |      4.752152e+02      |
| 0.04080 |      3.916950e-07      |      4.763830e+02      |
| 0.04090 |      3.916933e-07      |      4.775508e+02      |
| 0.04100 |      3.916916e-07      |      4.787185e+02      |
| 0.04110 |      3.916899e-07      |      4.798863e+02      |
| 0.04120 |      3.916881e-07      |      4.810540e+02      |
| 0.04130 |      3.916864e-07      |      4.822218e+02      |
| 0.04140 |      3.916847e-07      |      4.833896e+02      |
| 0.04150 |      3.916829e-07      |      4.845574e+02      |
| 0.04160 |      3.916812e-07      |      4.857251e+02      |
| 0.04170 |      3.916795e-07      |      4.868929e+02      |
| 0.04180 |      3.916777e-07      |      4.880607e+02      |
| 0.04190 |      3.916759e-07      |      4.892284e+02      |
| 0.04200 |      3.916742e-07      |      4.903962e+02      |
| 0.04210 |      3.916724e-07      |      4.915640e+02      |
| 0.04220 |      3.916707e-07      |      4.927318e+02      |
| 0.04230 |      3.916689e-07      |      4.938995e+02      |
| 0.04240 |      3.916671e-07      |      4.950673e+02      |
| 0.04250 |      3.916653e-07      |      4.962351e+02      |
| 0.04260 |      3.916636e-07      |      4.974029e+02      |
| 0.04270 |      3.916618e-07      |      4.985707e+02      |
| 0.04280 |      3.916600e-07      |      4.997384e+02      |
| 0.04290 |      3.916582e-07      |      5.009062e+02      |
| 0.04300 |      3.916564e-07      |      5.020740e+02      |
| 0.04310 |      3.916546e-07      |      5.032418e+02      |
| 0.04320 |      3.916528e-07      |      5.044096e+02      |
| 0.04330 |      3.916510e-07      |      5.055774e+02      |
| 0.04340 |      3.916492e-07      |      5.067452e+02      |
| 0.04350 |      3.916473e-07      |      5.079130e+02      |
| 0.04360 |      3.916455e-07      |      5.090807e+02      |
| 0.04370 |      3.916437e-07      |      5.102485e+02      |
| 0.04380 |      3.916418e-07      |      5.114163e+02      |
| 0.04390 |      3.916400e-07      |      5.125841e+02      |
| 0.04400 |      3.916382e-07      |      5.137519e+02      |
| 0.04410 |      3.916363e-07      |      5.149197e+02      |
| 0.04420 |      3.916345e-07      |      5.160875e+02      |
| 0.04430 |      3.916326e-07      |      5.172553e+02      |
| 0.04440 |      3.916308e-07      |      5.184231e+02      |
| 0.04450 |      3.916289e-07      |      5.195909e+02      |
| 0.04460 |      3.916270e-07      |      5.207587e+02      |
| 0.04470 |      3.916252e-07      |      5.219265e+02      |
| 0.04480 |      3.916233e-07      |      5.230943e+02      |
| 0.04490 |      3.916214e-07      |      5.242621e+02      |
| 0.04500 |      3.916195e-07      |      5.254299e+02      |
| 0.04510 |      3.916176e-07      |      5.265977e+02      |
| 0.04520 |      3.916158e-07      |      5.277655e+02      |
| 0.04530 |      3.916139e-07      |      5.289333e+02      |
| 0.04540 |      3.916120e-07      |      5.301012e+02      |
| 0.04550 |      3.916101e-07      |      5.312690e+02      |
| 0.04560 |      3.916081e-07      |      5.324368e+02      |
| 0.04570 |      3.916062e-07      |      5.336046e+02      |
| 0.04580 |      3.916043e-07      |      5.347724e+02      |
| 0.04590 |      3.916024e-07      |      5.359402e+02      |
| 0.04600 |      3.916005e-07      |      5.371080e+02      |
| 0.04610 |      3.915985e-07      |      5.382759e+02      |
| 0.04620 |      3.915966e-07      |      5.394437e+02      |
| 0.04630 |      3.915947e-07      |      5.406115e+02      |
| 0.04640 |      3.915927e-07      |      5.417793e+02      |
| 0.04650 |      3.915908e-07      |      5.429471e+02      |
| 0.04660 |      3.915888e-07      |      5.441150e+02      |
| 0.04670 |      3.915869e-07      |      5.452828e+02      |
| 0.04680 |      3.915849e-07      |      5.464506e+02      |
| 0.04690 |      3.915830e-07      |      5.476184e+02      |
| 0.04700 |      3.915810e-07      |      5.487862e+02      |
| 0.04710 |      3.915790e-07      |      5.499541e+02      |
| 0.04720 |      3.915770e-07      |      5.511219e+02      |
| 0.04730 |      3.915751e-07      |      5.522897e+02      |
| 0.04740 |      3.915731e-07      |      5.534576e+02      |
| 0.04750 |      3.915711e-07      |      5.546254e+02      |
| 0.04760 |      3.915691e-07      |      5.557932e+02      |
