Максимальный шаг, при которых РК2 и РK4 совпадают h = 1.869159e-03          
Число узлов n = 535 при данном h
-------------------------------------------------------------
|    x    |        u(z) РК2        |        u(z) РК4        |
| 0.41869 |      3.568975e-07      |      3.568976e-07      |
| 0.42056 |      3.566113e-07      |      3.566114e-07      |
| 0.42243 |      3.563245e-07      |      3.563246e-07      |
| 0.42430 |      3.560373e-07      |      3.560374e-07      |
| 0.42617 |      3.557495e-07      |      3.557496e-07      |
| 0.42804 |      3.554612e-07      |      3.554613e-07      |
| 0.42991 |      3.551724e-07      |      3.551725e-07      |
| 0.43178 |      3.548832e-07      |      3.548833e-07      |
| 0.43364 |      3.545935e-07      |      3.545936e-07      |
| 0.43551 |      3.543034e-07      |      3.543035e-07      |
| 0.43738 |      3.540128e-07      |      3.540129e-07      |
| 0.43925 |      3.537219e-07      |      3.537220e-07      |
| 0.44112 |      3.534305e-07      |      3.534306e-07      |
| 0.44299 |      3.531388e-07      |      3.531389e-07      |
| 0.44486 |      3.528467e-07      |      3.528468e-07      |
| 0.44673 |      3.525543e-07      |      3.525544e-07      |
| 0.44860 |      3.522616e-07      |      3.522617e-07      |
| 0.45047 |      3.519685e-07      |      3.519686e-07      |
| 0.45234 |      3.516751e-07      |      3.516753e-07      |
| 0.45421 |      3.513815e-07      |      3.513816e-07      |
| 0.45607 |      3.510876e-07      |      3.510877e-07      |
| 0.45794 |      3.507935e-07      |      3.507936e-07      |
| 0.45981 |      3.504991e-07      |      3.504992e-07      |
| 0.46168 |      3.502045e-07      |      3.502046e-07      |
| 0.46355 |      3.499097e-07      |      3.499099e-07      |
| 0.46542 |      3.496148e-07      |      3.496149e-07      |
| 0.46729 |      3.493197e-07      |      3.493198e-07      |
| 0.46916 |      3.490244e-07      |      3.490245e-07      |
| 0.47103 |      3.487290e-07      |      3.487292e-07      |
| 0.47290 |      3.484335e-07      |      3.484337e-07      |
| 0.47477 |      3.481379e-07      |      3.481381e-07      |
| 0.47664 |      3.478423e-07      |      3.478424e-07      |
| 0.47850 |      3.475466e-07      |      3.475467e-07      |
| 0.48037 |      3.472508e-07      |      3.472510e-07      |
| 0.48224 |      3.469551e-07      |      3.469552e-07      |
| 0.48411 |      3.466593e-07      |      3.466594e-07      |
| 0.48598 |      3.463635e-07      |      3.463637e-07      |
| 0.48785 |      3.460678e-07      |      3.460680e-07      |
| 0.48972 |      3.457721e-07      |      3.457723e-07      |
| 0.49159 |      3.454765e-07      |      3.454767e-07      |
| 0.49346 |      3.451810e-07      |      3.451812e-07      |
| 0.49533 |      3.448856e-07      |      3.448858e-07      |
| 0.49720 |      3.445903e-07      |      3.445905e-07      |
| 0.49907 |      3.442952e-07      |      3.442954e-07      |
| 0.50093 |      3.440002e-07      |      3.440004e-07      |
| 0.50280 |      3.437054e-07      |      3.437056e-07      |
| 0.50467 |      3.434108e-07      |      3.434110e-07      |
| 0.50654 |      3.431164e-07      |      3.431166e-07      |
| 0.50841 |      3.428223e-07      |      3.428225e-07      |
| 0.51028 |      3.425284e-07      |      3.425286e-07      |
| 0.51215 |      3.422348e-07      |      3.422350e-07      |
