Вариант коэфф-та k: k1
Число узлов n = 1001
-------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |
| 0.19100 |      3.845014e-07      |      2.215546e+03      |
| 0.19200 |      3.844220e-07      |      2.227108e+03      |
| 0.19300 |      3.843422e-07      |      2.238666e+03      |
| 0.19400 |      3.842619e-07      |      2.250221e+03      |
| 0.19500 |      3.841813e-07      |      2.261774e+03      |
| 0.19600 |      3.841002e-07      |      2.273322e+03      |
| 0.19700 |      3.840187e-07      |      2.284868e+03      |
| 0.19800 |      3.839368e-07      |      2.296410e+03      |
| 0.19900 |      3.838546e-07      |      2.307949e+03      |
| 0.20000 |      3.837719e-07      |      2.319484e+03      |
| 0.20100 |      3.836888e-07      |      2.331016e+03      |
| 0.20200 |      3.836053e-07      |      2.342544e+03      |
| 0.20300 |      3.835214e-07      |      2.354069e+03      |
| 0.20400 |      3.834371e-07      |      2.365590e+03      |
| 0.20500 |      3.833524e-07      |      2.377107e+03      |
| 0.20600 |      3.832672e-07      |      2.388620e+03      |
| 0.20700 |      3.831817e-07      |      2.400129e+03      |
| 0.20800 |      3.830958e-07      |      2.411635e+03      |
| 0.20900 |      3.830095e-07      |      2.423136e+03      |
| 0.21000 |      3.829227e-07      |      2.434633e+03      |
| 0.21100 |      3.828356e-07      |      2.446127e+03      |
| 0.21200 |      3.827481e-07      |      2.457615e+03      |
| 0.21300 |      3.826601e-07      |      2.469100e+03      |
| 0.21400 |      3.825718e-07      |      2.480580e+03      |
| 0.21500 |      3.824830e-07      |      2.492056e+03      |
| 0.21600 |      3.823939e-07      |      2.503528e+03      |
| 0.21700 |      3.823043e-07      |      2.514994e+03      |
| 0.21800 |      3.822144e-07      |      2.526457e+03      |
| 0.21900 |      3.821241e-07      |      2.537914e+03      |
| 0.22000 |      3.820333e-07      |      2.549367e+03      |
| 0.22100 |      3.819422e-07      |      2.560815e+03      |
| 0.22200 |      3.818506e-07      |      2.572258e+03      |
| 0.22300 |      3.817587e-07      |      2.583695e+03      |
| 0.22400 |      3.816664e-07      |      2.595128e+03      |
| 0.22500 |      3.815736e-07      |      2.606556e+03      |
| 0.22600 |      3.814805e-07      |      2.617979e+03      |
| 0.22700 |      3.813870e-07      |      2.629396e+03      |
| 0.22800 |      3.812930e-07      |      2.640808e+03      |
| 0.22900 |      3.811987e-07      |      2.652214e+03      |
| 0.23000 |      3.811040e-07      |      2.663615e+03      |
| 0.23100 |      3.810089e-07      |      2.675010e+03      |
| 0.23200 |      3.809134e-07      |      2.686400e+03      |
| 0.23300 |      3.808175e-07      |      2.697784e+03      |
| 0.23400 |      3.807212e-07      |      2.709162e+03      |
| 0.23500 |      3.806245e-07      |      2.720534e+03      |
| 0.23600 |      3.805274e-07      |      2.731900e+03      |
| 0.23700 |      3.804299e-07      |      2.743260e+03      |
| 0.23800 |      3.803321e-07      |      2.754614e+03      |
| 0.23900 |      3.802338e-07      |      2.765962e+03      |
| 0.24000 |      3.801352e-07      |      2.777303e+03      |
| 0.24100 |      3.800361e-07      |      2.788638e+03      |
| 0.24200 |      3.799367e-07      |      2.799966e+03      |
| 0.24300 |      3.798369e-07      |      2.811288e+03      |
| 0.24400 |      3.797367e-07      |      2.822603e+03      |
| 0.24500 |      3.796361e-07      |      2.833911e+03      |
| 0.24600 |      3.795351e-07      |      2.845213e+03      |
| 0.24700 |      3.794337e-07      |      2.856507e+03      |
| 0.24800 |      3.793320e-07      |      2.867795e+03      |
| 0.24900 |      3.792298e-07      |      2.879075e+03      |
| 0.25000 |      3.791273e-07      |      2.890348e+03      |
| 0.25100 |      3.790244e-07      |      2.901614e+03      |
| 0.25200 |      3.789211e-07      |      2.912872e+03      |
| 0.25300 |      3.788174e-07      |      2.924123e+03      |
| 0.25400 |      3.787134e-07      |      2.935366e+03      |
| 0.25500 |      3.786089e-07      |      2.946602e+03      |
| 0.25600 |      3.785041e-07      |      2.957830e+03      |
| 0.25700 |      3.783989e-07      |      2.969049e+03      |
| 0.25800 |      3.782933e-07      |      2.980261e+03      |
| 0.25900 |      3.781873e-07      |      2.991465e+03      |
| 0.26000 |      3.780810e-07      |      3.002661e+03      |
| 0.26100 |      3.779742e-07      |      3.013848e+03      |
| 0.26200 |      3.778671e-07      |      3.025027e+03      |
| 0.26300 |      3.777596e-07      |      3.036198e+03      |
| 0.26400 |      3.776518e-07      |      3.047360e+03      |
| 0.26500 |      3.775435e-07      |      3.058513e+03      |
| 0.26600 |      3.774349e-07      |      3.069657e+03      |
| 0.26700 |      3.773259e-07      |      3.080793e+03      |
| 0.26800 |      3.772165e-07      |      3.091920e+03      |
| 0.26900 |      3.771068e-07      |      3.103037e+03      |
| 0.27000 |      3.769967e-07      |      3.114145e+03      |
| 0.27100 |      3.768862e-07      |      3.125244e+03      |
| 0.27200 |      3.767754e-07      |      3.136334e+03      |
| 0.27300 |      3.766641e-07      |      3.147414e+03      |
| 0.27400 |      3.765525e-07      |      3.158484e+03      |
| 0.27500 |      3.764406e-07      |      3.169545e+03      |
| 0.27600 |      3.763282e-07      |      3.180596e+03      |
| 0.27700 |      3.762155e-07      |      3.191637e+03      |
| 0.27800 |      3.761025e-07      |      3.202667e+03      |
| 0.27900 |      3.759890e-07      |      3.213688e+03      |
| 0.28000 |      3.758752e-07      |      3.224698e+03      |
| 0.28100 |      3.757610e-07      |      3.235698e+03      |
| 0.28200 |      3.756465e-07      |      3.246687e+03      |
| 0.28300 |      3.755316e-07      |      3.257666e+03      |
| 0.28400 |      3.754164e-07      |      3.268634e+03      |
| 0.28500 |      3.753007e-07      |      3.279591e+03      |
| 0.28600 |      3.751848e-07      |      3.290537e+03      |
| 0.28700 |      3.750684e-07      |      3.301472e+03      |
| 0.28800 |      3.749517e-07      |      3.312396e+03      |
| 0.28900 |      3.748347e-07      |      3.323308e+03      |
| 0.29000 |      3.747172e-07      |      3.334209e+03      |
| 0.29100 |      3.745995e-07      |      3.345098e+03      |
| 0.29200 |      3.744813e-07      |      3.355976e+03      |
| 0.29300 |      3.743629e-07      |      3.366841e+03      |
| 0.29400 |      3.742440e-07      |      3.377695e+03      |
| 0.29500 |      3.741248e-07      |      3.388537e+03      |
| 0.29600 |      3.740053e-07      |      3.399366e+03      |
| 0.29700 |      3.738854e-07      |      3.410184e+03      |
| 0.29800 |      3.737652e-07      |      3.420988e+03      |
| 0.29900 |      3.736446e-07      |      3.431780e+03      |
| 0.30000 |      3.735236e-07      |      3.442560e+03      |
| 0.30100 |      3.734023e-07      |      3.453326e+03      |
| 0.30200 |      3.732807e-07      |      3.464080e+03      |
| 0.30300 |      3.731587e-07      |      3.474820e+03      |
| 0.30400 |      3.730364e-07      |      3.485548e+03      |
| 0.30500 |      3.729137e-07      |      3.496261e+03      |
| 0.30600 |      3.727907e-07      |      3.506962e+03      |
| 0.30700 |      3.726674e-07      |      3.517649e+03      |
| 0.30800 |      3.725437e-07      |      3.528322e+03      |
| 0.30900 |      3.724197e-07      |      3.538981e+03      |
| 0.31000 |      3.722953e-07      |      3.549626e+03      |
| 0.31100 |      3.721706e-07      |      3.560257e+03      |
| 0.31200 |      3.720455e-07      |      3.570874e+03      |
| 0.31300 |      3.719202e-07      |      3.581476e+03      |
| 0.31400 |      3.717944e-07      |      3.592063e+03      |
| 0.31500 |      3.716684e-07      |      3.602636e+03      |
| 0.31600 |      3.715420e-07      |      3.613195e+03      |
| 0.31700 |      3.714153e-07      |      3.623738e+03      |
| 0.31800 |      3.712883e-07      |      3.634266e+03      |
| 0.31900 |      3.711609e-07      |      3.644778e+03      |
| 0.32000 |      3.710332e-07      |      3.655276e+03      |
| 0.32100 |      3.709052e-07      |      3.665758e+03      |
| 0.32200 |      3.707768e-07      |      3.676224e+03      |
| 0.32300 |      3.706482e-07      |      3.686674e+03      |
| 0.32400 |      3.705192e-07      |      3.697108e+03      |
| 0.32500 |      3.703899e-07      |      3.707527e+03      |
| 0.32600 |      3.702602e-07      |      3.717929e+03      |
| 0.32700 |      3.701303e-07      |      3.728314e+03      |
| 0.32800 |      3.700000e-07      |      3.738683e+03      |
| 0.32900 |      3.698694e-07      |      3.749035e+03      |
| 0.33000 |      3.697385e-07      |      3.759371e+03      |
| 0.33100 |      3.696073e-07      |      3.769689e+03      |
| 0.33200 |      3.694758e-07      |      3.779990e+03      |
| 0.33300 |      3.693439e-07      |      3.790274e+03      |
| 0.33400 |      3.692118e-07      |      3.800541e+03      |
| 0.33500 |      3.690793e-07      |      3.810790e+03      |
| 0.33600 |      3.689465e-07      |      3.821021e+03      |
| 0.33700 |      3.688134e-07      |      3.831235e+03      |
| 0.33800 |      3.686801e-07      |      3.841430e+03      |
| 0.33900 |      3.685464e-07      |      3.851607e+03      |
| 0.34000 |      3.684124e-07      |      3.861766e+03      |
| 0.34100 |      3.682781e-07      |      3.871906e+03      |
| 0.34200 |      3.681435e-07      |      3.882027e+03      |
| 0.34300 |      3.680086e-07      |      3.892130e+03      |
| 0.34400 |      3.678734e-07      |      3.902214e+03      |
| 0.34500 |      3.677379e-07      |      3.912278e+03      |
| 0.34600 |      3.676021e-07      |      3.922324e+03      |
| 0.34700 |      3.674661e-07      |      3.932349e+03      |
| 0.34800 |      3.673297e-07      |      3.942356e+03      |
| 0.34900 |      3.671931e-07      |      3.952342e+03      |
| 0.35000 |      3.670561e-07      |      3.962309e+03      |
| 0.35100 |      3.669189e-07      |      3.972255e+03      |
| 0.35200 |      3.667814e-07      |      3.982181e+03      |
| 0.35300 |      3.666436e-07      |      3.992087e+03      |
| 0.35400 |      3.665055e-07      |      4.001972e+03      |
| 0.35500 |      3.663671e-07      |      4.011837e+03      |
| 0.35600 |      3.662285e-07      |      4.021680e+03      |
| 0.35700 |      3.660896e-07      |      4.031503e+03      |
| 0.35800 |      3.659503e-07      |      4.041304e+03      |
| 0.35900 |      3.658109e-07      |      4.051084e+03      |
| 0.36000 |      3.656711e-07      |      4.060843e+03      |
| 0.36100 |      3.655311e-07      |      4.070579e+03      |
| 0.36200 |      3.653908e-07      |      4.080294e+03      |
