Вариант коэфф-та k: k1
Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.10900 |      3.781792e-07      |      1.279576e+03      |      1.256207e+03      |
| 0.11000 |      3.781331e-07      |      1.291313e+03      |      1.291313e+03      |
| 0.11100 |      3.780866e-07      |      1.303050e+03      |      1.279680e+03      |
| 0.11200 |      3.780396e-07      |      1.314786e+03      |      1.314787e+03      |
| 0.11300 |      3.779923e-07      |      1.326523e+03      |      1.303151e+03      |
| 0.11400 |      3.779445e-07      |      1.338258e+03      |      1.338258e+03      |
| 0.11500 |      3.778963e-07      |      1.349993e+03      |      1.326621e+03      |
| 0.11600 |      3.778477e-07      |      1.361728e+03      |      1.361728e+03      |
| 0.11700 |      3.777986e-07      |      1.373463e+03      |      1.350090e+03      |
| 0.11800 |      3.777492e-07      |      1.385197e+03      |      1.385197e+03      |
| 0.11900 |      3.776993e-07      |      1.396930e+03      |      1.373556e+03      |
| 0.12000 |      3.776490e-07      |      1.408663e+03      |      1.408663e+03      |
| 0.12100 |      3.775983e-07      |      1.420395e+03      |      1.397021e+03      |
| 0.12200 |      3.775471e-07      |      1.432127e+03      |      1.432127e+03      |
| 0.12300 |      3.774956e-07      |      1.443858e+03      |      1.420484e+03      |
| 0.12400 |      3.774436e-07      |      1.455589e+03      |      1.455589e+03      |
| 0.12500 |      3.773912e-07      |      1.467319e+03      |      1.443944e+03      |
| 0.12600 |      3.773384e-07      |      1.479048e+03      |      1.479049e+03      |
| 0.12700 |      3.772851e-07      |      1.490777e+03      |      1.467402e+03      |
| 0.12800 |      3.772315e-07      |      1.502505e+03      |      1.502505e+03      |
| 0.12900 |      3.771774e-07      |      1.514232e+03      |      1.490858e+03      |
| 0.13000 |      3.771229e-07      |      1.525959e+03      |      1.525959e+03      |
| 0.13100 |      3.770680e-07      |      1.537685e+03      |      1.514311e+03      |
| 0.13200 |      3.770127e-07      |      1.549410e+03      |      1.549410e+03      |
| 0.13300 |      3.769569e-07      |      1.561134e+03      |      1.537761e+03      |
| 0.13400 |      3.769007e-07      |      1.572858e+03      |      1.572858e+03      |
| 0.13500 |      3.768442e-07      |      1.584580e+03      |      1.561207e+03      |
| 0.13600 |      3.767871e-07      |      1.596302e+03      |      1.596302e+03      |
| 0.13700 |      3.767297e-07      |      1.608023e+03      |      1.584651e+03      |
| 0.13800 |      3.766719e-07      |      1.619743e+03      |      1.619743e+03      |
| 0.13900 |      3.766136e-07      |      1.631462e+03      |      1.608090e+03      |
| 0.14000 |      3.765549e-07      |      1.643180e+03      |      1.643180e+03      |
| 0.14100 |      3.764958e-07      |      1.654897e+03      |      1.631526e+03      |
| 0.14200 |      3.764363e-07      |      1.666612e+03      |      1.666613e+03      |
| 0.14300 |      3.763764e-07      |      1.678327e+03      |      1.654958e+03      |
| 0.14400 |      3.763160e-07      |      1.690041e+03      |      1.690041e+03      |
