Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.32500 |      3.710380e-07      |      3.715248e+03      |      3.606932e+03      |
| 0.33000 |      3.703853e-07      |      3.766906e+03      |      3.767031e+03      |
| 0.33500 |      3.697248e-07      |      3.818132e+03      |      3.710807e+03      |
| 0.34000 |      3.690566e-07      |      3.868907e+03      |      3.869044e+03      |
| 0.34500 |      3.683809e-07      |      3.919212e+03      |      3.812970e+03      |
| 0.35000 |      3.676978e-07      |      3.969027e+03      |      3.969174e+03      |
| 0.35500 |      3.670077e-07      |      4.018331e+03      |      3.913271e+03      |
| 0.36000 |      3.663105e-07      |      4.067105e+03      |      4.067265e+03      |
| 0.36500 |      3.656067e-07      |      4.115328e+03      |      4.011549e+03      |
| 0.37000 |      3.648962e-07      |      4.162979e+03      |      4.163152e+03      |
| 0.37500 |      3.641794e-07      |      4.210037e+03      |      4.107643e+03      |
| 0.38000 |      3.634564e-07      |      4.256479e+03      |      4.256665e+03      |
| 0.38500 |      3.627276e-07      |      4.302285e+03      |      4.201384e+03      |
| 0.39000 |      3.619930e-07      |      4.347432e+03      |      4.347631e+03      |
| 0.39500 |      3.612529e-07      |      4.391898e+03      |      4.292598e+03      |
| 0.40000 |      3.605077e-07      |      4.435660e+03      |      4.435873e+03      |
| 0.40500 |      3.597575e-07      |      4.478697e+03      |      4.381109e+03      |
| 0.41000 |      3.590025e-07      |      4.520984e+03      |      4.521211e+03      |
| 0.41500 |      3.582431e-07      |      4.562500e+03      |      4.466739e+03      |
| 0.42000 |      3.574795e-07      |      4.603222e+03      |      4.603464e+03      |
| 0.42500 |      3.567120e-07      |      4.643126e+03      |      4.549305e+03      |
| 0.43000 |      3.559409e-07      |      4.682190e+03      |      4.682447e+03      |
| 0.43500 |      3.551664e-07      |      4.720392e+03      |      4.628626e+03      |
| 0.44000 |      3.543889e-07      |      4.757707e+03      |      4.757979e+03      |
| 0.44500 |      3.536086e-07      |      4.794115e+03      |      4.704519e+03      |
| 0.45000 |      3.528259e-07      |      4.829591e+03      |      4.829879e+03      |
| 0.45500 |      3.520410e-07      |      4.864115e+03      |      4.776803e+03      |
| 0.46000 |      3.512543e-07      |      4.897664e+03      |      4.897967e+03      |
| 0.46500 |      3.504661e-07      |      4.930216e+03      |      4.845301e+03      |
| 0.47000 |      3.496768e-07      |      4.961750e+03      |      4.962069e+03      |
| 0.47500 |      3.488866e-07      |      4.992245e+03      |      4.909837e+03      |
| 0.48000 |      3.480958e-07      |      5.021681e+03      |      5.022015e+03      |
| 0.48500 |      3.473050e-07      |      5.050036e+03      |      4.970242e+03      |
| 0.49000 |      3.465143e-07      |      5.077293e+03      |      5.077644e+03      |
| 0.49500 |      3.457241e-07      |      5.103432e+03      |      5.026354e+03      |
| 0.50000 |      3.449348e-07      |      5.133412e+03      |      5.128800e+03      |
| 0.50500 |      3.441452e-07      |      5.163465e+03      |      5.078020e+03      |
| 0.51000 |      3.433568e-07      |      5.188562e+03      |      5.175341e+03      |
| 0.51500 |      3.425700e-07      |      5.212516e+03      |      5.125095e+03      |
| 0.52000 |      3.417851e-07      |      5.235313e+03      |      5.217134e+03      |
| 0.52500 |      3.410025e-07      |      5.256937e+03      |      5.167447e+03      |
| 0.53000 |      3.402226e-07      |      5.277375e+03      |      5.254063e+03      |
| 0.53500 |      3.394456e-07      |      5.296612e+03      |      5.204959e+03      |
| 0.54000 |      3.386721e-07      |      5.314636e+03      |      5.286023e+03      |
| 0.54500 |      3.379023e-07      |      5.331437e+03      |      5.237527e+03      |
| 0.55000 |      3.371365e-07      |      5.347004e+03      |      5.312929e+03      |
| 0.55500 |      3.363753e-07      |      5.361329e+03      |      5.265065e+03      |
| 0.56000 |      3.356188e-07      |      5.374403e+03      |      5.334715e+03      |
| 0.56500 |      3.348674e-07      |      5.386221e+03      |      5.287505e+03      |
| 0.57000 |      3.341216e-07      |      5.396776e+03      |      5.351333e+03      |
| 0.57500 |      3.333816e-07      |      5.406067e+03      |      5.304800e+03      |
| 0.58000 |      3.326478e-07      |      5.414090e+03      |      5.362760e+03      |
| 0.58500 |      3.319205e-07      |      5.420844e+03      |      5.316925e+03      |
| 0.59000 |      3.312001e-07      |      5.426331e+03      |      5.368995e+03      |
